S/N,Code,Title,Unit,Total Attendance,Attendance,Attendance Percentage,Prorated Attendance
1,CSC411,Software Engineering,,,,,NA
2,CSC413,Algorithms and Complexity Analysis,,,,,NA
3,CSC415,Artificial Intelligence,,,,,NA
4,CSC416,Discrete Structure,,,,,NA
5,CSC431,Computational Science and Numerical Methods,,,,,NA
6,CSC433,Computer Graphics and Animation,,,,,NA
7,DLD211,Leadership and Developmental Studies VIII,,,,,NA
8,EDS411,Entrepreneurial Development Studies VIII,,,,,NA
9,MIS415,Project Management,,,,,NA
10,TMC411,Total Man Concept VII,,,,,NA
11,TMC412,Total Man Concept -Sports VII,,,,,NA
