Image Name,Operation,Time (seconds)
all_images,load_images,131.8752
Screenshot at 2025-06-03 07-15-25.png,text_extraction,1.5889
Screenshot at 2025-06-03 07-15-25.png,text_extraction,1.1997
Screenshot at 2025-06-03 07-15-54.png,text_extraction,4.6945
Screenshot at 2025-06-03 07-15-25.png,text_extraction,1.4984
Screenshot at 2025-06-03 07-15-54.png,text_extraction,4.8702
Screenshot at 2025-06-03 07-16-00.png,text_extraction,2.8369
Screenshot at 2025-06-03 07-15-25.png,text_extraction,1.2633
Screenshot at 2025-06-03 07-15-54.png,text_extraction,5.3754
Screenshot at 2025-06-03 07-16-00.png,text_extraction,2.5050
Screenshot at 2025-06-03 07-16-05.png,text_extraction,1.4018
Screenshot at 2025-06-03 07-15-25.png,text_extraction,1.9666
Screenshot at 2025-06-03 07-15-54.png,text_extraction,7.5293
Screenshot at 2025-06-03 07-16-00.png,text_extraction,2.9595
Screenshot at 2025-06-03 07-16-05.png,text_extraction,1.0105
Screenshot at 2025-06-03 07-23-36.png,text_extraction,0.4785
Screenshot at 2025-06-03 07-15-25.png,text_extraction,1.6989
Screenshot at 2025-06-03 07-15-54.png,text_extraction,4.9282
Screenshot at 2025-06-03 07-16-00.png,text_extraction,2.7816
Screenshot at 2025-06-03 07-16-05.png,text_extraction,1.8688
Screenshot at 2025-06-03 07-23-14.png,text_extraction,0.6364
Screenshot at 2025-06-03 07-23-20.png,text_extraction,1.3398
Screenshot at 2025-06-03 07-23-36.png,text_extraction,0.6489
Screenshot at 2025-06-03 07-15-25.png,text_extraction,1.3210
Screenshot at 2025-06-03 07-15-54.png,text_extraction,6.9177
Screenshot at 2025-06-03 07-16-00.png,text_extraction,2.9386
Screenshot at 2025-06-03 07-16-05.png,text_extraction,1.0232
Screenshot at 2025-06-03 07-23-04.png,text_extraction,0.4637
Screenshot at 2025-06-03 07-23-14.png,text_extraction,0.4456
Screenshot at 2025-06-03 07-23-20.png,text_extraction,0.5121
Screenshot at 2025-06-03 07-23-36.png,text_extraction,0.4603
